"SCHEMA_NAME","DIGEST","DIGEST_TEXT","COUNT_STAR","SUM_TIMER_WAIT","MIN_TIMER_WAIT","AVG_TIMER_WAIT","MAX_TIMER_WAIT","SUM_LOCK_TIME","SUM_ERRORS","SUM_WARNINGS","SUM_ROWS_AFFECTED","SUM_ROWS_SENT","SUM_ROWS_EXAMINED","SUM_CREATED_TMP_DISK_TABLES","SUM_CREATED_TMP_TABLES","SUM_SELECT_FULL_JOIN","SUM_SELECT_FULL_RANGE_JOIN","SUM_SELECT_RANGE","SUM_SELECT_RANGE_CHECK","SUM_SELECT_SCAN","SUM_SORT_MERGE_PASSES","SUM_SORT_RANGE","SUM_SORT_ROWS","SUM_SORT_SCAN","SUM_NO_INDEX_USED","SUM_NO_GOOD_INDEX_USED","FIRST_SEEN","LAST_SEEN"
diamante_edi,"03504c6c94390314ef1185fa55fb634d",SELECT SQL_NO_CACHE * FROM `TP_ActividadesEtapa` ,9,1360463000,108926000,151162000,423174000,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"0b827322732337396e906f9c3e33d86b",SHOW CREATE TABLE `TP_Archivo` ,9,636997000,67757000,70777000,73710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"6f30c4b13010cb5f75e24eddbeb30064",SHOW FIELDS FROM `TP_Archivo` ,18,4832550000,240669000,268475000,306838000,0,0,0,0,270,270,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,c17bf49bdf3113b51f0c33e90557fcbe,SELECT SQL_NO_CACHE * FROM `TP_Archivo` ,9,1712858000,145615000,190317000,450380000,0,0,9,0,108,108,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,cabf4b82ad74752f50c9e625cc6f1281,SHOW CREATE TABLE `TP_Archivos` ,9,634600000,66414000,70511000,74386000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"9d9314062a28b8422bab5b507147ea5c",SHOW FIELDS FROM `TP_Archivos` ,18,4609781000,232928000,256098000,299519000,0,0,0,0,198,198,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"2d8fafff4f5460335dae06885f327bfe",SELECT SQL_NO_CACHE * FROM `TP_Archivos` ,9,4103281000,356556000,455920000,1057583000,0,0,9,0,909,909,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"056adf78524b989cfc736218a27dd4f7",SHOW CREATE TABLE `TP_AulaArchivos` ,9,830252000,84429000,92250000,114862000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"6abdba0dc5b10a3fb1cfa02577bcff6f",SHOW FIELDS FROM `TP_AulaArchivos` ,18,4560036000,234061000,253335000,271544000,0,0,0,0,234,234,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"094f2ad8b8a73383e6400254318736a2",SELECT SQL_NO_CACHE * FROM `TP_AulaArchivos` ,9,1373460000,111679000,152606000,405200000,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"25c3663581d9b45bccc6babd67391326",SHOW CREATE TABLE `TP_BackupsVista` ,9,522708000,54750000,58078000,59872000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"6ed7e9f34f753986641d2aefb09986a8",SHOW FIELDS FROM `TP_BackupsVista` ,18,4424140000,224763000,245785000,286013000,0,0,0,0,54,54,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,fbd65771f3bc5d45b500256ae3853f01,SELECT SQL_NO_CACHE * FROM `TP_BackupsVista` ,9,859625000,77116000,95513000,192713000,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"4327bada5c1f22c4eb0c3c3f13143fd9",SHOW CREATE TABLE `TP_Banco_Pregunta` ,9,633345000,67116000,70371000,74910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"2c53b204ed8dc977ca585e2541e79597",SHOW FIELDS FROM `TP_Banco_Pregunta` ,18,4770863000,240250000,265047000,284062000,0,0,0,0,234,234,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,d4d2017b2c5ac8877f690203ee6edcc2,SELECT SQL_NO_CACHE * FROM `TP_Banco_Pregunta` ,9,1390938000,119534000,154548000,398904000,0,0,9,0,9,9,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,d4f34ae12328c09a1867ab456a04ec79,SHOW CREATE TABLE `TP_Banco_Respuesta` ,9,577742000,59849000,64193000,72634000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,b1269e23c7b639b1503887ce4d8fef64,SHOW FIELDS FROM `TP_Banco_Respuesta` ,18,4093296000,203737000,227405000,271295000,0,0,0,0,90,90,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,d6e2054382480a94cb7e9a63b2521d92,SELECT SQL_NO_CACHE * FROM `TP_Banco_Respuesta` ,9,1410825000,114361000,156758000,414781000,0,0,9,0,45,45,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"6763b1ef3090979cfa21b107c521b85f",SHOW CREATE TABLE `TP_Caracteristicas` ,9,850721000,90779000,94524000,103251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
diamante_edi,"9a7bb9aa20581dac5955fcccedb0fa4c",SHOW FIELDS FROM `TP_Caracteristicas` ,18,4627506000,224584000,257083000,305420000,0,0,0,0,198,198,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:24"
